domain,priority,public_service_layer,personal_data_likelihood,network_provider_hint,cloud_or_cdn_hint,network_jurisdiction_hint,unique_suppliers_count,us_supplier_count,high_risk_supplier_count,p1_questions_count,p2_questions_count,p3_questions_count,service_layers,example_suppliers,priority_reason
huizenduurzaam.nl,P1,"D, leverancier of te verifieren",Mogelijk,"Cloudflare, Google","CDN/WAF, Cloud/SaaS","VS leverancier, regio en dataflow verifieren | VS leverancier, wereldwijde edge",5,5,4,4,1,0,"mx_spf, frontend_scripts, network_hosting","Microsoft 365 / Exchange Online, Google APIs, Google Tag Manager, Cloudflare, Mailgun",4 P1-verificatievragen; 5 leverancier(s) met US-indicatie; 4 leverancier(s) met hoog datarisico
sro.nl,P1,"C, verbonden partij of samenwerking",Mogelijk,Google,Cloud/SaaS,"VS leverancier, regio en dataflow verifieren",5,5,4,4,1,0,"mx_spf, frontend_scripts","Microsoft 365 / Exchange Online, Google APIs, Google Tag Manager, Google Analytics, YouTube",4 P1-verificatievragen; 5 leverancier(s) met US-indicatie; 4 leverancier(s) met hoog datarisico
gad.nl,P1,"C, verbonden partij of samenwerking",Mogelijk,"Google, TransIP","Cloud/SaaS, Hosting","Nederlandse hostingindicatie | VS leverancier, regio en dataflow verifieren",5,4,4,3,2,0,"mx_spf, frontend_scripts","Microsoft 365 / Exchange Online, Google APIs, Google Tag Manager, YouTube, Zivver",3 P1-verificatievragen; 4 leverancier(s) met US-indicatie; 4 leverancier(s) met hoog datarisico
readspeaker.com,P1,"D, leverancier of te verifieren",Te beoordelen,"Cloudflare, Google","CDN/WAF, Cloud/SaaS","VS leverancier, regio en dataflow verifieren | VS leverancier, wereldwijde edge",5,4,3,3,1,1,"frontend_scripts, network_hosting","Google APIs, Google Tag Manager, YouTube, Cloudflare, ReadSpeaker",3 P1-verificatievragen; 4 leverancier(s) met US-indicatie; 3 leverancier(s) met hoog datarisico
tomingroep.nl,P1,"C, verbonden partij of samenwerking",Te beoordelen,"Cloudflare, Google","CDN/WAF, Cloud/SaaS","VS leverancier, regio en dataflow verifieren | VS leverancier, wereldwijde edge",5,3,5,3,2,0,"mx_spf, frontend_scripts, network_hosting","Microsoft 365 / Exchange Online, Google Tag Manager, Cloudflare, Zivver, TOPdesk",3 P1-verificatievragen; 3 leverancier(s) met US-indicatie; 5 leverancier(s) met hoog datarisico
visitgooivecht.nl,P1,"D, leverancier of te verifieren",Te beoordelen,"Amazon Web Services, Google","Cloud, Cloud/SaaS","VS leverancier, regio contractueel verifieren | VS leverancier, regio en dataflow verifieren",4,3,4,3,1,0,"mx_spf, frontend_scripts","Microsoft 365 / Exchange Online, Google Tag Manager, YouTube, Zivver",3 P1-verificatievragen; 3 leverancier(s) met US-indicatie; 4 leverancier(s) met hoog datarisico
energieloketten.nl,P1,"D, leverancier of te verifieren",Te beoordelen,Cloudflare,CDN/WAF,"VS leverancier, wereldwijde edge",3,3,3,3,0,0,"mx_spf, network_hosting","Microsoft 365 / Exchange Online, Cloudflare, Mailgun",3 P1-verificatievragen; 3 leverancier(s) met US-indicatie; 3 leverancier(s) met hoog datarisico
regiogv.nl,P1,"C, verbonden partij of samenwerking",Te beoordelen,"Google, TransIP","Cloud/SaaS, Hosting","Nederlandse hostingindicatie | VS leverancier, regio en dataflow verifieren",4,3,3,2,2,0,"mx_spf, frontend_scripts","Microsoft 365 / Exchange Online, Google APIs, Google Tag Manager, Zivver",2 P1-verificatievragen; 3 leverancier(s) met US-indicatie; 3 leverancier(s) met hoog datarisico
gnr.nl,P1,"C, verbonden partij of samenwerking",Te beoordelen,"Google, Leaseweb","Cloud/SaaS, Hosting","Nederlandse hostingindicatie, internationale footprint mogelijk | VS leverancier, regio en dataflow verifieren",3,3,2,2,1,0,"mx_spf, frontend_scripts","Microsoft 365 / Exchange Online, Google APIs, Google Tag Manager",2 P1-verificatievragen; 3 leverancier(s) met US-indicatie; 2 leverancier(s) met hoog datarisico
randmeren.com,P1,"C, verbonden partij of samenwerking",Te beoordelen,Google,Cloud/SaaS,"VS leverancier, regio en dataflow verifieren",4,3,2,2,1,1,frontend_scripts,"Google APIs, Google Tag Manager, Google Analytics, Cookiebot / Usercentrics",2 P1-verificatievragen; 3 leverancier(s) met US-indicatie; 2 leverancier(s) met hoog datarisico
