domain,service_layer,supplier,supplier_type,indicator,evidence_source,evidence_value,jurisdiction_group,parent_company_country,data_risk,typical_data,personal_data_likelihood,public_service_layer,confidence,verification_needed,verification_question
huizen.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,protection.outlook.com,mx,10 huizen-nl.mail.protection.outlook.com,"US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
huizen.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,protection.outlook.com,spf,v=spf1 ip4:194.13.163.7 ip4:194.53.14.66 ip4:20.229.91.213 ip4:193.173.63.210/28 ip4:195.72.120.109 ip4:195.72.120.110 ip4:185.42.57.140 ip4:213.125.7.98/29 ip4:45.80.232.21 ip4:195.72.120.192 ip6:2001:678:56c:1:195:72:120:192 include:_spf.sc.nines.nl include:_spf.zivver.com include:spf.topdesk.net include:spf.protection.outlook.com include:spf.simgroephosting.nl include:spf.flowmailer.net include:spf.pinkprivate.cloud a:malengo.exception.mx ip4:194.13.163.7 ip4:194.53.14.66 include:_spf.formuli,"US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
huizen.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,protection.outlook.com,spf_includes,"_spf.formulierenserver.nl, _spf.sc.nines.nl, _spf.zivver.com, spf.flowmailer.net, spf.pinkprivate.cloud, spf.protection.outlook.com, spf.simgroephosting.nl, spf.topdesk.net","US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
huizen.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,outlook.com,mx,10 huizen-nl.mail.protection.outlook.com,"US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
huizen.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,outlook.com,spf,v=spf1 ip4:194.13.163.7 ip4:194.53.14.66 ip4:20.229.91.213 ip4:193.173.63.210/28 ip4:195.72.120.109 ip4:195.72.120.110 ip4:185.42.57.140 ip4:213.125.7.98/29 ip4:45.80.232.21 ip4:195.72.120.192 ip6:2001:678:56c:1:195:72:120:192 include:_spf.sc.nines.nl include:_spf.zivver.com include:spf.topdesk.net include:spf.protection.outlook.com include:spf.simgroephosting.nl include:spf.flowmailer.net include:spf.pinkprivate.cloud a:malengo.exception.mx ip4:194.13.163.7 ip4:194.53.14.66 include:_spf.formuli,"US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
huizen.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,outlook.com,spf_includes,"_spf.formulierenserver.nl, _spf.sc.nines.nl, _spf.zivver.com, spf.flowmailer.net, spf.pinkprivate.cloud, spf.protection.outlook.com, spf.simgroephosting.nl, spf.topdesk.net","US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
huizen.nl,frontend_scripts,YouTube,embedded media,youtube.com,tracker_hints,"leaflet, matomo, piwik, readspeaker, simanalytics, siteimprove, youtube.com",US supplier,US,medium/high,"browser metadata, viewing data, cookies possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,Worden YouTube embeds privacyvriendelijk geladen en is toestemming of een alternatief ingericht?
huizen.nl,mx_spf,Zivver,secure email,zivver.com,spf,v=spf1 ip4:194.13.163.7 ip4:194.53.14.66 ip4:20.229.91.213 ip4:193.173.63.210/28 ip4:195.72.120.109 ip4:195.72.120.110 ip4:185.42.57.140 ip4:213.125.7.98/29 ip4:45.80.232.21 ip4:195.72.120.192 ip6:2001:678:56c:1:195:72:120:192 include:_spf.sc.nines.nl include:_spf.zivver.com include:spf.topdesk.net include:spf.protection.outlook.com include:spf.simgroephosting.nl include:spf.flowmailer.net include:spf.pinkprivate.cloud a:malengo.exception.mx ip4:194.13.163.7 ip4:194.53.14.66 include:_spf.formuli,NL/EU supplier,NL,medium/high,"secure email content, recipient metadata, access logs",Mogelijk,"A, direct gemeentelijk",hoog,ja,Welke berichtenstromen lopen via Zivver en welke subverwerkers en hostinglocaties worden gebruikt?
huizen.nl,mx_spf,Zivver,secure email,zivver.com,spf_includes,"_spf.formulierenserver.nl, _spf.sc.nines.nl, _spf.zivver.com, spf.flowmailer.net, spf.pinkprivate.cloud, spf.protection.outlook.com, spf.simgroephosting.nl, spf.topdesk.net",NL/EU supplier,NL,medium/high,"secure email content, recipient metadata, access logs",Mogelijk,"A, direct gemeentelijk",hoog,ja,Welke berichtenstromen lopen via Zivver en welke subverwerkers en hostinglocaties worden gebruikt?
huizen.nl,mx_spf,TOPdesk,service management / SaaS,topdesk.net,spf,v=spf1 ip4:194.13.163.7 ip4:194.53.14.66 ip4:20.229.91.213 ip4:193.173.63.210/28 ip4:195.72.120.109 ip4:195.72.120.110 ip4:185.42.57.140 ip4:213.125.7.98/29 ip4:45.80.232.21 ip4:195.72.120.192 ip6:2001:678:56c:1:195:72:120:192 include:_spf.sc.nines.nl include:_spf.zivver.com include:spf.topdesk.net include:spf.protection.outlook.com include:spf.simgroephosting.nl include:spf.flowmailer.net include:spf.pinkprivate.cloud a:malengo.exception.mx ip4:194.13.163.7 ip4:194.53.14.66 include:_spf.formuli,NL/EU supplier,NL,medium/high,"tickets, contact details, internal service data",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke TOPdesk-omgeving wordt gebruikt, waar staat deze gehost en welke subverwerkers gelden?"
