,domain,layer,personal_data_likelihood,risk_score,hosting_hint,sovereignty_hint,mail_provider_hint,mail_sovereignty_hint,risk_notes
10,tomingroep.nl,"C, verbonden partij of samenwerking",Te beoordelen,60,Cloudflare,"VS leverancier, wereldwijde edge, dataflow nader beoordelen","Microsoft 365 / Exchange Online, TOPdesk, Zivver","Nederlandse leverancier, hosting en subverwerkers controleren | Nederlandse leverancier, subverwerkers controleren | VS leverancier, tenantregio en contractuele waarborgen nodig","HSTS ontbreekt; CSP ontbreekt; security.txt ontbreekt; Externe scripts of trackingindicaties: googletagmanager.com; Soevereiniteitsvraag: VS leverancier, wereldwijde edge, dataflow nader beoordelen; Mailsoevereiniteitsvraag: Nederlandse leverancier, hosting en subverwerkers controleren | Nederlandse leverancier, subverwerkers controleren | VS leverancier, tenantregio en contractuele waarborgen nodig"
14,metropoolregioamsterdam.nl,"D, leverancier of te verifieren",Te beoordelen,55,Onbekend,Onbekend,Microsoft 365 / Exchange Online,"VS leverancier, tenantregio en contractuele waarborgen nodig","HSTS ontbreekt; CSP ontbreekt; DMARC ontbreekt; security.txt ontbreekt; Mailsoevereiniteitsvraag: VS leverancier, tenantregio en contractuele waarborgen nodig"
22,archiefweb.eu,"D, leverancier of te verifieren",Te beoordelen,55,Cloudflare,"VS leverancier, wereldwijde edge, dataflow nader beoordelen",Google Workspace of Google maildiensten,"VS leverancier, regio en dataflow controleren","HSTS ontbreekt; CSP ontbreekt; security.txt ontbreekt; Soevereiniteitsvraag: VS leverancier, wereldwijde edge, dataflow nader beoordelen; Mailsoevereiniteitsvraag: VS leverancier, regio en dataflow controleren; SPF gebruikt softfail"
16,randmeren.com,"C, verbonden partij of samenwerking",Te beoordelen,53,Onbekend,Onbekend,,,"HSTS ontbreekt; CSP ontbreekt; DMARC ontbreekt; security.txt ontbreekt; Externe scripts of trackingindicaties: google-analytics.com, googletagmanager.com"
19,huizenduurzaam.nl,"D, leverancier of te verifieren",Mogelijk,48,Onbekend,Onbekend,"Mailgun, Microsoft 365 / Exchange Online","VS leverancier, dataflow controleren | VS leverancier, tenantregio en contractuele waarborgen nodig","CSP ontbreekt; DMARC ontbreekt; security.txt ontbreekt; Externe scripts of trackingindicaties: googletagmanager.com; Mailsoevereiniteitsvraag: VS leverancier, dataflow controleren | VS leverancier, tenantregio en contractuele waarborgen nodig"
17,gnr.nl,"C, verbonden partij of samenwerking",Te beoordelen,48,Onbekend,Onbekend,Microsoft 365 / Exchange Online,"VS leverancier, tenantregio en contractuele waarborgen nodig","HSTS ontbreekt; CSP ontbreekt; security.txt ontbreekt; Externe scripts of trackingindicaties: googletagmanager.com, vimeo.com; Mailsoevereiniteitsvraag: VS leverancier, tenantregio en contractuele waarborgen nodig"
3,maatschappelijkezaken.nl,"B, uitvoeringssite",Waarschijnlijk,40,Hostnet,Nederlandse hostingindicatie,Microsoft 365 / Exchange Online,"VS leverancier, tenantregio en contractuele waarborgen nodig","DMARC staat op none; security.txt ontbreekt; Externe scripts of trackingindicaties: leaflet, matomo, piwik, readspeaker, simanalytics, siteimprove; Mailsoevereiniteitsvraag: VS leverancier, tenantregio en contractuele waarborgen nodig; Waarschijnlijk persoonsgegevens"
6,sro.nl,"C, verbonden partij of samenwerking",Mogelijk,40,Onbekend,Onbekend,Microsoft 365 / Exchange Online,"VS leverancier, tenantregio en contractuele waarborgen nodig","CSP ontbreekt; DMARC staat op none; security.txt ontbreekt; Externe scripts of trackingindicaties: doubleclick.net, facebook.net, google-analytics.com, googletagmanager.com, hotjar.com, matomo, vimeo.com, youtube.com; Mailsoevereiniteitsvraag: VS leverancier, tenantregio en contractuele waarborgen nodig"
9,vrgooienvechtstreek.nl,"C, verbonden partij of samenwerking",Te beoordelen,40,Onbekend,Onbekend,Microsoft 365 / Exchange Online,"VS leverancier, tenantregio en contractuele waarborgen nodig","HSTS ontbreekt; CSP ontbreekt; security.txt ontbreekt; Mailsoevereiniteitsvraag: VS leverancier, tenantregio en contractuele waarborgen nodig"
1,www.huizen.nl,"A, direct gemeentelijk",Mogelijk,38,Onbekend,Onbekend,,,"DMARC ontbreekt; SPF ontbreekt; security.txt ontbreekt; Externe scripts of trackingindicaties: leaflet, matomo, piwik, readspeaker, simanalytics, siteimprove, youtube.com"
